Time,v1,v2,Tank1,Tank2,Tank3,Tank4
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01
1.000125015626953440e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.982292536534374372e-01,1.997700416523525979e-01,1.990826185172158425e-01,1.998088882960094292e-01
2.000250031253906879e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.964800885387441853e-01,1.995411413618591034e-01,1.981743002356004535e-01,1.996201295139805876e-01
3.000375046880860097e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.947523339424077904e-01,1.993133131145344294e-01,1.972749760704774757e-01,1.994336957830084300e-01
4.000500062507813759e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.930458187142687076e-01,1.990865703661842123e-01,1.963845771405018648e-01,1.992495595321007451e-01
5.000625078134767421e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.913603713151831864e-01,1.988609260505709853e-01,1.955030347801277046e-01,1.990676934911631835e-01
6.000750093761720194e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.896958198456364653e-01,1.986363925891765636e-01,1.946302805441476047e-01,1.988880706887573568e-01
7.000875109388673856e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.880519920737327988e-01,1.984129819009409768e-01,1.937662462118178996e-01,1.987106644497036723e-01
8.001000125015627518e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.864287154618291253e-01,1.981907054120027323e-01,1.929108637902978152e-01,1.985354483924319235e-01
9.001125140642580291e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.848258171936037197e-01,1.979695740653019398e-01,1.920640655181250211e-01,1.983623964263698247e-01
1.000125015626953484e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.832431242004083638e-01,1.977495983301135463e-01,1.912257838682829281e-01,1.981914827491993158e-01
1.100137517189648761e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.816804631887061483e-01,1.975307882113977453e-01,1.903959515515722956e-01,1.980226818442566428e-01
1.200150018752344039e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.801376606673590342e-01,1.973131532590456094e-01,1.895745015198068428e-01,1.978559684778907757e-01
1.300162520315039494e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.786145429748919045e-01,1.970967025770087588e-01,1.887613669688895379e-01,1.976913176968050634e-01
1.400175021877734771e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.771109363071720344e-01,1.968814448322891708e-01,1.879564813419451474e-01,1.975287048254473765e-01
1.500187523440430226e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.756266667451812091e-01,1.966673882638079185e-01,1.871597783323887265e-01,1.973681054634048859e-01
1.600200025003125504e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.741615602828114062e-01,1.964545406911548664e-01,1.863711918869101203e-01,1.972094954827965374e-01
1.700212526565820781e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.727154428549180776e-01,1.962429095232093579e-01,1.855906562084687073e-01,1.970528510256979726e-01
1.800225028128516058e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.712881403653988555e-01,1.960325017666423864e-01,1.848181057592163112e-01,1.968981485015700306e-01
1.900237529691211691e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.698794787153225516e-01,1.958233240342991677e-01,1.840534752633631588e-01,1.967453645846963250e-01
2.000250031253906968e+01,7.000000000000000000e+00,4.000000000000000000e+00,1.684892838312424257e-01,1.956153825534574509e-01,1.832966997100429762e-01,1.965944762116506317e-01
2.100262532816602246e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.660831881014896150e-01,1.961650717144436118e-01,1.856859387250306137e-01,1.922306959315839281e-01
2.200275034379297523e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.637466355156433628e-01,1.966522154379509446e-01,1.880507403349815643e-01,1.879216839466190669e-01
2.300287535941992800e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.614782261618006587e-01,1.970778277926401589e-01,1.903915062948465242e-01,1.836673654766214914e-01
2.400300037504688078e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.592765772700941718e-01,1.974429061538952035e-01,1.927086268801893321e-01,1.794676641235529446e-01
2.500312539067383710e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.571403230092641434e-01,1.977484320076609292e-01,1.950024813979178151e-01,1.753225018209998709e-01
2.600325040630078988e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.550681143191375844e-01,1.979953717137301894e-01,1.972734386659094896e-01,1.712317987816761311e-01
2.700337542192774265e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.530586187754565675e-01,1.981846772315262739e-01,1.995218574639223141e-01,1.671954734428027778e-01
2.800350043755469542e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.511105204837280558e-01,1.983172868111751364e-01,2.017480869579605374e-01,1.632134424092616110e-01
2.900362545318164820e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.492225199989726803e-01,1.983941256524425767e-01,2.039524671000705058e-01,1.592856203944128246e-01
3.000375046880860452e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.473933342684503323e-01,1.984161065338989616e-01,2.061353290053608844e-01,1.554119201584624188e-01
3.100387548443555730e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.456216965946067476e-01,1.983841304145022577e-01,2.082969953078889214e-01,1.515922524442572250e-01
3.200400050006251007e+01,7.636601739384951681e-01,8.150082136056774118e+00,1.439063566156560947e-01,1.982990870096177638e-01,2.104377804969078947e-01,1.478265259103793139e-01
